date;close;ret_m;mm3;mm6;mm12;vol3;vol6;momentum3;volrel;selic_m;ipca_m;close_plus1
07/01/2022;99,3;0,0453;100,4933;104,8967;104,73;0,0893;0,0782;-0,0397;0,9732;0,1325;-0,0068;99,3
08/01/2022;105,83;0,0658;100,0433;104,385;104,0425;0,0982;0,0843;-0,0126;1,012;0,1375;-0,0036;105,83
09/01/2022;106,46;0,006;103,8633;102,8617;104,04;0,0304;0,0788;0,1206;0,8261;0,1375;-0,0029;106,46
10/01/2022;112,15;0,0534;108,1467;104,32;105,0792;0,0316;0,0664;0,1294;1,0948;0,1375;0,0059;112,15
11/01/2022;108,58;-0,0318;109,0633;104,5533;105,9317;0,0427;0,068;0,026;1,3275;0,1375;0,0041;108,58
12/01/2022;105,95;-0,0242;108,8933;106,3783;106,3608;0,0472;0,0417;-0,0048;1,0847;0,1375;0,0062;105,95
01/01/2023;109,84;0,0367;108,1233;108,135;106,5158;0,0376;0,0407;-0,0206;0,7495;0,1375;0,0053;109,84
02/01/2023;101,15;-0,0791;105,6467;107,355;105,87;0,0579;0,0487;-0,0684;0,7272;0,1375;0,0084;101,15
03/01/2023;98,49;-0,0263;103,16;106,0267;104,4442;0,058;0,0488;-0,0704;1,2349;0,1375;0,0071;98,49
04/01/2023;100,9;0,0245;100,18;104,1517;104,2358;0,0518;0,042;-0,0814;0,8271;0,1375;0,0061;100,9
05/01/2023;104,84;0,039;101,41;103,5283;104,0408;0,0343;0,0466;0,0365;1,2846;0,1375;0,0023;104,84
06/01/2023;114,17;0,089;106,6367;104,8983;105,6383;0,0338;0,0586;0,1592;0,8928;0,1375;-0,0008;114,17
07/01/2023;117,95;0,0331;112,32;106,25;107,1925;0,0307;0,0583;0,169;0,8842;0,1375;0,0012;117,95
08/01/2023;112,31;-0,0478;114,81;108,11;107,7325;0,0688;0,0491;0,0713;0,903;0,1325;0,0023;112,31
09/01/2023;113,15;0,0075;114,47;110,5533;108,29;0,0414;0,0446;-0,0089;0,7038;0,1275;0,0026;113,15
10/01/2023;109,62;-0,0312;111,6933;112,0067;108,0792;0,0284;0,05;-0,0706;0,7208;0,1275;0,0024;109,62
11/01/2023;123,57;0,1273;115,4467;115,1283;109,3283;0,0826;0,0682;0,1003;1,0294;0,1225;0,0028;123,57
12/01/2023;130,39;0,0552;121,1933;117,8317;111,365;0,0793;0,0636;0,1524;0,7966;0,1175;0,0056;
